epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.753,0.78245,0.43138,0.92975,0.97675,0.98107,0.98274,0.77921,0.86399,0.35692,0.95525,0.000190218,0.000190218,0.000190218
43,596.069,0.77586,0.43825,0.93693,0.96731,0.99169,0.98422,0.77987,0.86205,0.3522,0.96062,0.000180516,0.000180516,0.000180516
44,609.437,0.78193,0.43898,0.93881,0.97742,0.98984,0.98853,0.77208,0.87357,0.34952,0.96131,0.000170814,0.000170814,0.000170814
45,622.841,0.7741,0.43696,0.93498,0.97822,0.98682,0.9887,0.78658,0.866,0.34362,0.95779,0.000161112,0.000161112,0.000161112
46,636.235,0.78216,0.44834,0.93746,0.97453,0.98975,0.98867,0.77626,0.86449,0.34598,0.95507,0.00015141,0.00015141,0.00015141
47,649.574,0.78796,0.45036,0.94317,0.97606,0.9889,0.98643,0.77234,0.87031,0.34918,0.95596,0.000141708,0.000141708,0.000141708
48,663,0.75831,0.43492,0.93506,0.97947,0.98772,0.98657,0.77601,0.85435,0.33769,0.95842,0.000132006,0.000132006,0.000132006
49,676.219,0.77683,0.43426,0.93382,0.97818,0.98601,0.98484,0.78411,0.85436,0.33738,0.9551,0.000122304,0.000122304,0.000122304
50,689.155,0.77117,0.42571,0.93054,0.97853,0.98572,0.98664,0.77865,0.85952,0.33784,0.95379,0.000112602,0.000112602,0.000112602
51,704.577,0.71618,0.33634,0.91302,0.97747,0.98724,0.98292,0.77604,0.84875,0.33517,0.94808,0.0001029,0.0001029,0.0001029
52,717.189,0.70559,0.32616,0.9041,0.97721,0.98738,0.98228,0.77735,0.84912,0.34184,0.94642,9.3198e-05,9.3198e-05,9.3198e-05
53,730.174,0.69691,0.32505,0.907,0.98044,0.98621,0.98478,0.77917,0.84973,0.33683,0.94817,8.3496e-05,8.3496e-05,8.3496e-05
54,743.357,0.69147,0.31932,0.90069,0.9747,0.98352,0.98425,0.78146,0.84072,0.33517,0.94789,7.3794e-05,7.3794e-05,7.3794e-05
55,756.367,0.68087,0.31802,0.89653,0.97288,0.98409,0.9861,0.7918,0.84142,0.33392,0.95001,6.4092e-05,6.4092e-05,6.4092e-05
56,769.425,0.67112,0.30958,0.8955,0.97584,0.98522,0.98268,0.788,0.83967,0.32772,0.94814,5.439e-05,5.439e-05,5.439e-05
57,782.429,0.67411,0.30825,0.89128,0.97662,0.98482,0.98396,0.78975,0.84217,0.32702,0.95068,4.4688e-05,4.4688e-05,4.4688e-05
58,795.25,0.66861,0.30585,0.89098,0.97477,0.98545,0.98456,0.79033,0.84626,0.32765,0.95213,3.4986e-05,3.4986e-05,3.4986e-05
59,807.624,0.66639,0.3059,0.89449,0.97465,0.98418,0.98448,0.79409,0.84076,0.32768,0.94851,2.5284e-05,2.5284e-05,2.5284e-05
60,820.621,0.65922,0.30559,0.89178,0.97445,0.98379,0.98446,0.79413,0.83881,0.32609,0.94849,1.5582e-05,1.5582e-05,1.5582e-05
